// Zasłanianie cykliczne
// UP CW
rgb 255, 0, 0
-1, 7, 6
-1, 9, 6
8, 8, 7

// UP CCW
rgb 255, 0, 0
-1, 7, 6
8, 8, 7
-1, 9, 6

// RIGHT CW
rgb 0, 255, 0
4, 11, 9
6, 11, 9
5, 0, 5

// RIGHT CCW
rgb 0, 255, 0
6, 11, 9
4, 11, 9
5, 0, 5

// DOWN CW
rgb 0, 0, 255
7, 4, 7
7, 2, 7
-2, 3, 6

// DOWN CCW
rgb 0, 0, 255
7, 2, 7
7, 4, 7
-2, 3, 6

// LEFT CW
rgb 255, 255, 0
1, 10, 4
2, 1, 8
0, 1, 8

// LEFT CCW
rgb 255, 255, 0
2, 1, 8
1, 10, 4
0, 1, 8

// Przecinające się trójkąty
// 1 CW
rgb 255, 255, 0
10, 0, 5
12, 10, 8
14, 0, 5

// 1 CCW
rgb 255, 255, 0
12, 10, 8
10, 0, 5
14, 0, 5

// 2 CW
rgb 255, 0, 0
10, 0, 7
12, 6, 5
14, 0, 7

// 2 CCW
rgb 255, 0, 0
12, 6, 5
10, 0, 7
14, 0, 7
